,job_title,company,location,duration,stipend,skills,perks
21,Data Analyst,PlayTheory Labs,Work from home,4 Months,"₹ 5,000 /month","['Data Structures', 'HTML&CSS', 'Natural Language Processing (NLP)', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
22,Artificial Intelligence (AI),Ostello India Private Limited,Work from home,4 Months,"₹ 8,000-12,000 /month","['Amazon Web Server (AWS)', 'Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
23,Software Development,Pathbeat.in,Work from home,3 Months,"₹ 15,000-25,000 /month","['Data Science', 'Golang', 'JavaScript']",[]
24,Artificial Intelligence (AI),Pawzz,Work from home,4 Months,"₹ 10,000-12,000 /month","['Artificial Intelligence', 'Data Science', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
25,Research Analyst,Factacy.Ai,Gurgaon,3 Months,"₹ 15,000 /month","['Advanced Excel', 'Business Research', 'Market Research', 'NoSQL', 'Python', 'Research and Analytics']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week']"
26,Machine Learning & AI,Sidhe Petrochemical Private Limited,"Delhi, Noida",6 Months,"₹ 7,000-20,000 /month","['Data Analytics', 'Deep Learning', 'Machine Learning', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code']"
27,Business Analytics,DeepThought Edutech Ventures Private Limited,Hyderabad,6 Months,"₹ 19,000 /month",[],[]
28,Data Analytics,Infinite Creations Private Limited,Delhi,3 Months,"₹ 5,000-10,000 /month","['Advanced Excel', 'Data Analysis', 'Data Analytics', 'Digital Marketing', 'Facebook Ads', 'Google AdWords', 'Google Analytics', 'Marketing Campaigns', 'MS-Excel']","['Certificate', 'Letter of recommendation', 'Informal dress code']"
29,Data Analytics,Vedasya Engineering Solutions Private Limited,Hyderabad,3 Months,"₹ 10,000 /month","['Business Analysis', 'Power BI', 'Python', 'SQL', 'Tableau']","['Certificate', 'Letter of recommendation', '5 days a week', 'Free snacks & beverages']"
30,Data Analytics,Futurlytic Private Limited,Bangalore,6 Months,"₹ 25,000 /month","['Advanced Excel', 'MS-PowerPoint', 'SPSS', 'Tableau']","['Certificate', 'Letter of recommendation', 'Informal dress code', '5 days a week']"
31,Web Scrapping,Medius Technologies Private Limited,Mumbai,3 Months,"₹ 6,500 /month",[],"['Certificate', 'Letter of recommendation']"
32,Generative AI - Machine Learning,Pianalytix Edutech Private Limted,Work from home,2 Months,"₹ 20,000 /month","['Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
33,Human Resources (Data Science),Pianalytix Edutech Private Limted,Work from home,3 Months,"₹ 10,000 /month","['Data Science', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
34,Backend & ML Development,COSGrid Systems Private Limited,Chennai,5 Months,"₹ 15,000-25,000 /month","['Django', 'GitHub', 'Linux', 'Python', 'REST API']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages', 'Job offer']"
35,Data Science,Blackcoffer,Work from home,6 Months,"₹ 10,000-12,000 /month","['Data Analytics', 'Data Science', 'Deep Learning', 'Elasticsearch', 'Machine Learning', 'MongoDB', 'Natural Language Processing (NLP)', 'Power BI', 'Python', 'SQL']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Job offer']"
